iter	Accuracy	MultiClass
104	0.9386744292	0.1583723993
105	0.9393361655	0.156697213
106	0.9402677284	0.154836783
107	0.9410734313	0.1530569128
108	0.9415840838	0.1517316535
109	0.9416349163	0.1508907124
110	0.9424660958	0.1492543844
111	0.9429354763	0.1478358564
112	0.9434402113	0.1464926865
113	0.9441984329	0.1450270621
114	0.944551358	0.1437518929
115	0.9445631461	0.1430871721
116	0.9445958003	0.1424840386
117	0.9447261741	0.141634002
118	0.9451770505	0.1403476155
119	0.9453351041	0.1395463721
120	0.94556908	0.1387292435
121	0.9455685109	0.1381132388
122	0.9455905261	0.1375965158
123	0.9456229625	0.1370952141
124	0.9458327095	0.1364249372
125	0.9460326877	0.1355260157
126	0.9460685734	0.1350610378
127	0.9461650108	0.1344517593
128	0.9465019718	0.1333742665
129	0.9468971978	0.1324273184
130	0.9470054234	0.1318723664
131	0.9471407359	0.1314370028
132	0.947615987	0.1303697137
133	0.9478191979	0.1297824177
134	0.9480850301	0.1290112077
135	0.9481298956	0.1285603825
136	0.9481948648	0.1281010765
137	0.9485619143	0.1272299946
138	0.948665322	0.1266236022
139	0.9490494369	0.125804031
140	0.9490983574	0.125373892
141	0.9492871048	0.1246846257
142	0.9493485278	0.1242949146
143	0.9494023018	0.124034974
144	0.9495172934	0.1235723625
145	0.9496325873	0.1231337249
146	0.9497748112	0.1227015171
147	0.9498913762	0.1222846518
148	0.9500222957	0.1218753666
149	0.9501199307	0.1214088146
150	0.9503762491	0.1207566274
151	0.9506187337	0.1200858751
152	0.9506871043	0.1197916524
153	0.9507806726	0.1194045435
154	0.9508358631	0.1190604784
155	0.9509090621	0.1187154636
156	0.9510126764	0.1183332338
157	0.951072369	0.1180262965
158	0.9512144469	0.1175614405
159	0.9512681719	0.1172723204
160	0.9513117422	0.1169491054
161	0.9513811896	0.1167058275
162	0.9514003251	0.1164476704
163	0.9514667342	0.116114516
164	0.9514945833	0.1158588154
165	0.9515294756	0.1155878415
166	0.951570481	0.1154328904
167	0.9516173798	0.1151736742
168	0.9516638187	0.1149338765
169	0.951725798	0.1147010463
170	0.951760873	0.1144867489
171	0.9518294847	0.1142657114
172	0.9518868527	0.1140158711
173	0.9519352765	0.1138350796
174	0.9519420058	0.1135891478
175	0.9519748537	0.1134400567
176	0.952037838	0.1132249577
177	0.9520619828	0.1130319939
178	0.9521169421	0.1128506547
179	0.9521783891	0.1126777096
180	0.9521987701	0.1124948215
181	0.9521929361	0.112339811
182	0.9522615484	0.1121786614
183	0.9523159515	0.1119457202
184	0.9523245087	0.1118213271
185	0.9524476817	0.1115408934
186	0.9524546648	0.1114266844
187	0.9524607643	0.1112677588
188	0.9525304172	0.110992888
189	0.9525457392	0.110867895
190	0.952550556	0.110742102
191	0.9525822897	0.1104960554
192	0.9526341033	0.1102948072
193	0.9526445725	0.1101544903
194	0.9527227947	0.1098977926
195	0.9527925929	0.1096724416
196	0.9528425418	0.1094931614
197	0.9529045456	0.1092890584
198	0.9529131144	0.1090747697
199	0.9529174111	0.1089534621
200	0.952964359	0.1087684212
201	0.9530219091	0.1085413512
202	0.9530271979	0.1084405202
203	0.9530531105	0.1082553262
204	0.9530565721	0.1081394958
205	0.9530832954	0.1080615925
206	0.9531587699	0.1078986723
207	0.9531978627	0.1077645522
208	0.9532148312	0.107687749
209	0.9532169369	0.1075553829
210	0.9532031031	0.1074925881
211	0.9532057779	0.1073164047
212	0.9532035869	0.1072419466
213	0.9532414698	0.1070910032
214	0.9532704687	0.1070055394
215	0.9532928591	0.1069314641
216	0.9533169928	0.106864987
217	0.9533398676	0.1068133
218	0.9533815506	0.1067530911
219	0.9533904346	0.106637108
220	0.9534046559	0.1065557298
221	0.9534186712	0.1064908867
222	0.9534196033	0.1064225824
223	0.9534466295	0.1063207065
224	0.9534623274	0.1062610189
225	0.95348847	0.1062035109
226	0.9535071934	0.1061286173
227	0.9535131482	0.1060589763
228	0.9535198535	0.1059973403
229	0.9535392184	0.1059413217
230	0.9535446041	0.1058448649
231	0.9535646589	0.1057805509
232	0.9535855488	0.1057292849
233	0.9535869162	0.1056473453
234	0.9535863839	0.105591005
235	0.9536040061	0.1055584713
236	0.9536444062	0.1054455946
237	0.9536958684	0.1053260159
238	0.9537050425	0.1052679207
239	0.9537120624	0.1052231526
240	0.953770956	0.1050968132
241	0.9537830109	0.1050343723
242	0.953785262	0.1049741288
243	0.9537838823	0.1049212387
244	0.9537983452	0.1048672763
245	0.9538274894	0.1048179557
246	0.9538347393	0.1047959648
247	0.9538704073	0.1047001336
248	0.9538751516	0.1045900211
249	0.953905288	0.1045062479
250	0.9539272185	0.1044343498
251	0.9539733312	0.1043417062
252	0.9539998373	0.1042471829
253	0.9540028512	0.1041584762
254	0.9540086969	0.1041009298
255	0.9540311602	0.1040603144
256	0.954050392	0.1039701702
257	0.9540527762	0.1038983781
258	0.9540859509	0.1038232769
259	0.9540863139	0.1037790492
260	0.9541146836	0.1037382263
261	0.9541173584	0.1037136252
262	0.9541297034	0.1036622028
263	0.9541271255	0.1035837388
264	0.9541515253	0.1035476246
265	0.954159465	0.1035070113
266	0.9542073327	0.1034373135
267	0.9542078288	0.1033914041
268	0.9542345404	0.1033223471
269	0.9542640476	0.1032590346
270	0.9542790796	0.1032286977
271	0.9543064204	0.1031927938
272	0.9543179908	0.1031317225
273	0.9543307718	0.1030964839
274	0.9543586454	0.1030206417
275	0.9543980411	0.1029211154
276	0.9544174182	0.1028652083
277	0.9544301145	0.1028325961
278	0.9544721727	0.1027458312
279	0.9545098618	0.1026912746
280	0.9545179346	0.1026644039
281	0.9545503949	0.1025969061
282	0.9545390422	0.1025648203
283	0.9545312478	0.1025206111
284	0.9545388484	0.102489881
285	0.954542806	0.102453193
286	0.9546070492	0.1023796594
287	0.9546064562	0.1023559766
288	0.9546102445	0.1023308383
289	0.954627443	0.1023033725
290	0.954648006	0.1022763463
291	0.9546647808	0.1022338798
292	0.9546822576	0.102210023
293	0.9547277288	0.102150332
294	0.9547339982	0.1021209466
295	0.9547705738	0.1020472429
296	0.9547741683	0.1020286791
297	0.9547709006	0.1019972648
298	0.9548002747	0.1019148609
299	0.954819688	0.101871405
300	0.9548273009	0.1018510903
301	0.9548348531	0.1018111415
302	0.9548519062	0.1017745874
303	0.9548943881	0.1017087655
304	0.9548971236	0.1016637502
305	0.9549225886	0.1016393464
306	0.9549739177	0.1015826348
307	0.9549867833	0.1015459231
308	0.9549906563	0.1015288786
309	0.95500167	0.1014910118
310	0.9549941055	0.1014594606
311	0.9550117277	0.1014265419
312	0.955007867	0.1013905678
313	0.9550388146	0.1013538415
314	0.9550498043	0.1012981764
315	0.9550433412	0.1012806846
316	0.9550533627	0.1012483162
317	0.9550568242	0.1012291508
318	0.9550839835	0.1011944893
319	0.9551284258	0.1011246229
320	0.9551426833	0.1011094344
321	0.9551519543	0.1010695689
322	0.9551702663	0.1010374552
323	0.9551833618	0.1009990291
324	0.9551882999	0.1009796441
325	0.9552042155	0.1009671911
326	0.9551981761	0.100956338
327	0.9552217892	0.1009332292
328	0.9552286154	0.1009214078
329	0.9552243309	0.1008907464
330	0.9552242101	0.1008547931
331	0.9552431635	0.1008261176
332	0.9552493483	0.1008032128
333	0.9552661353	0.1007892598
334	0.9552902205	0.1007372896
335	0.9553051195	0.1007162103
336	0.9553186387	0.1006874139
337	0.9553263	0.1006654769
338	0.9553468753	0.1006256536
339	0.9553631178	0.1005927295
340	0.9553704884	0.1005678604
341	0.9553988097	0.1005495483
342	0.9554095573	0.1005351086
343	0.9554075723	0.100516841
344	0.9554353853	0.1004465015
345	0.9554463143	0.100429308
346	0.9554433612	0.1004170868
347	0.9554617216	0.1003814283
348	0.9554627745	0.1003440407
349	0.9554631859	0.1003197894
350	0.9554958401	0.10027071
351	0.9555655297	0.1001224808
352	0.9555786736	0.100101754
353	0.9555718475	0.1000806305
354	0.9555913577	0.1000310356
355	0.9556164958	0.100008318
356	0.9556483632	0.09996409935
357	0.9556469351	0.09993551854
358	0.9556661184	0.09991884355
359	0.9556632137	0.0999025407
360	0.9556607689	0.09988062661
361	0.9556581425	0.09986455812
362	0.9556704029	0.09984046086
363	0.9556682364	0.09982790808
364	0.9556837768	0.09981351497
365	0.9556823486	0.09979907726
366	0.9556920795	0.09978373823
367	0.9557193479	0.09975239566
368	0.9557300348	0.09972804737
369	0.9557436871	0.09971008142
370	0.9557413391	0.09969552825
371	0.9557999181	0.09959154656
372	0.9558009471	0.09956084818
373	0.9557994221	0.09953354029
374	0.9558211833	0.09942677122
375	0.9558529661	0.09940573539
376	0.9558604459	0.09936748153
377	0.9558814811	0.09933160535
378	0.9558868307	0.09931727148
379	0.955900846	0.0993037732
380	0.9559056388	0.09929109547
381	0.9559049974	0.09928266165
382	0.9559499118	0.09922041289
383	0.9559506501	0.09921016636
384	0.9559577547	0.09918942281
385	0.9559629227	0.09917653665
386	0.9559643509	0.09916764701
387	0.9559928536	0.09913535698
388	0.9559984332	0.09912797081
389	0.9560154501	0.09911576511
390	0.9560168298	0.09906039728
391	0.9560373205	0.09903097607
392	0.956047705	0.09900404689
393	0.956056976	0.09899819026
394	0.9560638383	0.09898687888
395	0.9560867616	0.09897456631
396	0.9560869431	0.09895892234
397	0.956090683	0.09894444074
398	0.9561087166	0.09891698166
399	0.9561053882	0.09888453227
400	0.9561214853	0.09887020041
401	0.9561361058	0.09884342563
402	0.9561453284	0.09883609809
403	0.9561494313	0.0988309714
404	0.9561514162	0.09881794797
405	0.9561709141	0.09877959682
406	0.9561844818	0.09874746868
407	0.9561920462	0.09872816589
408	0.9562100314	0.09871132915
409	0.9562193024	0.09869274161
410	0.9562329547	0.09866086309
411	0.9562453119	0.09864796869
412	0.9562721566	0.09861804183
413	0.9562632002	0.09859325813
414	0.9562574392	0.09857569185
415	0.9562684167	0.09856446018
416	0.9562809192	0.09852538203
417	0.9562835817	0.09849980647
418	0.9563087683	0.09845972546
419	0.9563241633	0.09844260292
420	0.9563189468	0.09841687477
421	0.9563266444	0.09840915204
422	0.9563229045	0.09838789523
423	0.9563271043	0.09837105902
424	0.9563356369	0.09836332158
425	0.9563483694	0.09833425663
426	0.9563728055	0.09829581928
427	0.956372757	0.09828913274
428	0.9563794017	0.09827366004
429	0.9563899677	0.09823736256
430	0.9563954626	0.09822469199
431	0.9564422289	0.09819419172
432	0.9564487767	0.09817937954
433	0.9564593427	0.09817298869
434	0.956469945	0.09814360892
435	0.9564628889	0.09813524406
436	0.9564832704	0.09811828205
437	0.9564832704	0.09811827154
438	0.9564877002	0.09808422809
439	0.9564871919	0.09807959327
440	0.9564986777	0.09807338249
441	0.9564998275	0.09806395291
442	0.956514811	0.09801657569
443	0.9565412927	0.09798561201
444	0.9565470537	0.09797713101
445	0.9565702069	0.09795134439
446	0.9565785096	0.09793814586
447	0.9565875991	0.09792824086
448	0.9565967732	0.09792278843
449	0.9566434427	0.09780744321
450	0.9566617062	0.09779600889
451	0.9566549285	0.09779089404
452	0.9566630013	0.09778242599
453	0.9566663175	0.09777678653
454	0.956669549	0.09776650623
455	0.9566700089	0.09776074442
456	0.956667661	0.09774392181
457	0.9566991531	0.09769573863
